year,amount,inflation rate
1958,100.00,0.05
1959,104.56,0.05
1960,106.42,0.02
1961,108.22,0.02
1962,112.15,0.04
1963,115.46,0.03
1964,130.88,0.13
1965,143.28,0.09
1966,158.75,0.11
1967,179.49,0.13
1968,185.30,0.03
1969,184.22,-0.01
1970,193.60,0.05
1971,199.56,0.03
1972,212.42,0.06
1973,248.40,0.17
1974,319.45,0.29
1975,337.81,0.06
1976,312.02,-0.08
1977,337.94,0.08
1978,346.47,0.03
1979,368.21,0.06
1980,409.99,0.11
1981,463.75,0.13
1982,500.34,0.08
1983,559.72,0.12
1984,606.29,0.08
1985,639.97,0.06
1986,695.84,0.09
1987,757.08,0.09
1988,828.12,0.09
1989,886.71,0.07
1990,966.26,0.09
1991,1100.28,0.14
1992,1229.98,0.12
1993,1307.80,0.06
1994,1441.82,0.10
1995,1589.24,0.10
1996,1731.91,0.09
1997,1855.99,0.07
1998,2101.55,0.13
1999,2199.69,0.05
2000,2287.89,0.04
2001,2374.35,0.04
2002,2476.38,0.04
2003,2570.63,0.04
2004,2667.47,0.04
2005,2780.74,0.04
2006,2941.93,0.06
2007,3129.42,0.06
2008,3390.70,0.08
2009,3759.69,0.11
2010,4210.45,0.12
2011,4583.43,0.09
2012,5010.26,0.09
2013,5556.76,0.11
2014,5909.79,0.06
2015,6256.84,0.06
2016,6565.99,0.05
2017,6729.54,0.02
2018,7056.64,0.05
2019,7597.16,0.08
2020,8019.66,0.06
2021,8411.83,0.05
2022,8908.16,0.06
2023,9568.22,0.07
2024,9598.25,0.00
